NUM_REPEATS is 20
Rank   Message Size (B)  Startup Time (ms)     Bandwidth (MB/s)    
0      2^0               0.004335              0.230699            
0      2^1               0.000867              2.306394            
0      2^2               0.000784              5.101820            
0      2^3               0.000813              9.838995            
0      2^4               0.000800              20.002176           
0      2^5               0.000765              41.843437           
0      2^6               0.000776              82.451829           
0      2^7               0.000770              166.179739          
0      2^8               0.000774              330.560889          
0      2^9               0.000787              650.868187          
0      2^10              0.000756              1354.996152         
0      2^11              0.000774              2645.282396         
0      2^12              0.000780              5248.265526         
0      2^13              0.000760              10776.224223        
0      2^14              0.000795              20602.161898        
0      2^15              0.000779              42066.442000        
0      2^16              0.001030              63641.805352        
0      2^17              0.000804              162956.624044       
0      2^18              0.000794              329982.387703       
0      2^19              0.000778              674030.116644       
0      2^20              0.000828              1266977.895507      
0      2^21              0.000801              2617610.942965      
0      2^22              0.000768              5461887.850792      
0      2^23              0.000798              10513217.688638     
0      2^24              0.000797              21048546.485344     
