NUM_REPEATS is 20
Rank   Message Size (B)  Startup Time (ms)     Bandwidth (MB/s)    
0      2^0               0.008036              0.124440            
0      2^1               0.002516              0.794776            
0      2^2               0.002875              1.391218            
0      2^3               0.002243              3.566360            
0      2^4               0.002632              6.080078            
0      2^5               0.002600              12.309142           
0      2^6               0.002675              23.927394           
0      2^7               0.002279              56.175490           
0      2^8               0.003093              82.774605           
0      2^9               0.003326              153.958725          
0      2^10              0.003796              269.792322          
0      2^11              0.003110              658.508491          
0      2^12              0.004611              888.243024          
0      2^13              0.004811              1702.689319         
0      2^14              0.006375              2570.078312         
0      2^15              0.009942              3295.774672         
0      2^16              0.017320              3783.876119         
0      2^17              0.033596              3901.441745         
0      2^18              0.063843              4106.054696         
0      2^19              0.126004              4160.895000         
0      2^20              0.277155              3783.354806         
0      2^21              0.525207              3993.004552         
0      2^22              0.916515              4576.360092         
0      2^23              1.586942              5286.019287         
0      2^24              3.007860              5577.791317         
Rank 0 finalized on processor: i02r08c05s06
Rank 1 finalized on processor: i02r08c05s06
