[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 12  Build 20210429 (id: e380127cb)
[0] MPI startup(): Copyright (C) 2003-2021 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.11.0-impi
[0] MPI startup(): libfabric provider: psm2
[0] MPI startup(): Rank    Pid      Node name     Pin cpu
[0] MPI startup(): 0       4185587  i02r08c05s03  1
[0] MPI startup(): 1       4185588  i02r08c05s03  3
NUM_REPEATS is 20
Rank   Message Size (B)  Startup Time (ms)     Bandwidth (MB/s)    
0      2^0               0.006104              0.163835            
0      2^1               0.001492              1.340753            
0      2^2               0.002752              1.453359            
0      2^3               0.001554              5.146447            
0      2^4               0.002059              7.769829            
0      2^5               0.001754              18.245401           
0      2^6               0.002686              23.830314           
0      2^7               0.001741              73.520356           
0      2^8               0.002130              120.175712          
0      2^9               0.002049              249.854935          
0      2^10              0.002789              367.091222          
0      2^11              0.002759              742.411633          
0      2^12              0.003444              1189.336248         
0      2^13              0.004297              1906.640010         
0      2^14              0.005157              3176.861103         
0      2^15              0.006887              4757.859647         
0      2^16              0.010561              6205.301909         
0      2^17              0.016494              7946.466732         
0      2^18              0.029705              8824.994880         
0      2^19              0.058914              8899.184513         
0      2^20              0.144573              7252.916124         
0      2^21              0.278320              7535.029335         
0      2^22              0.557299              7526.124235         
0      2^23              1.334309              6286.854187         
0      2^24              2.231158              7519.510059         
Rank 0 finalized on processor: i02r08c05s03
Rank 1 finalized on processor: i02r08c05s03
